account_id,customer_id,account_type,status,opening_date
A0055,C0055,Merchant,Active,2025-07-08
A0056,C0056,Personal,Active,2025-01-07
A0057,C0057,Personal,Active,2025-04-28
A0058,C0058,Personal,Active,2025-10-08
A0059,C0059,Personal,Active,2024-08-15
A0060,C0060,Personal,Active,2025-09-14
A0061,C0061,Personal,Active,2024-11-02
A0062,C0062,Personal,Active,2025-04-01
A0063,C0063,Personal,Suspended,2024-06-08
A0064,C0064,Merchant,Active,2024-11-26
A0065,C0065,Personal,Inactive,2024-08-12
A0066,C0066,Personal,Active,2025-12-29
A0067,C0067,Personal,Inactive,2025-05-18
A0068,C0068,Personal,Active,2025-03-31
A0069,C0069,Personal,Active,2024-02-14
A0070,C0070,Merchant,Active,2024-08-01
A0071,C0071,Personal,Active,2024-02-28
A0072,C0072,Personal,Active,2025-10-05
A0073,C0073,Personal,Active,2025-09-07
A0074,C0074,Personal,Active,2024-07-13
A0075,C0075,Personal,Active,2025-05-03
A0076,C0076,Personal,Active,2024-06-05
A0077,C0077,Personal,Active,2025-09-01
A0078,C0078,Personal,Active,2024-08-13
A0079,C0079,Personal,Active,2025-02-15
A0080,C0080,Personal,Active,2024-07-23
A0081,C0081,Personal,Active,2024-03-19
A0082,C0082,Personal,Active,2024-05-03
A0083,C0083,Personal,Active,2025-04-15
A0084,C0084,Personal,Inactive,2024-08-05
A0085,C0085,Personal,Active,2025-05-30
A0086,C0086,Personal,Active,2025-08-24
A0087,C0087,Personal,Active,2024-04-13
A0088,C0088,Personal,Active,2025-01-27
A0089,C0089,Personal,Active,2025-09-22
A0090,C0090,Personal,Active,2025-10-06
A0091,C0091,Merchant,Active,2025-08-30
A0092,C0092,Personal,Active,2025-03-09
A0093,C0093,Merchant,Active,2024-11-26
A0094,C0094,Personal,Active,2024-05-22
A0095,C0095,Personal,Active,2025-06-23
A0096,C0096,Personal,Active,2024-10-04
A0097,C0097,Personal,Active,2024-08-20
A0098,C0098,Merchant,Active,2025-06-12
A0099,C0099,Personal,Inactive,2025-07-24
A0100,C0100,Personal,Inactive,2024-03-30
A0101,C0101,Personal,Active,2025-05-06
A0102,C0102,Merchant,Active,2024-07-17
A0103,C0103,Personal,Active,2024-12-27
A0104,C0104,Personal,Active,2025-03-16
A0105,C0105,Personal,Active,2024-01-26
A0106,C0106,Personal,Active,2024-01-25
A0107,C0107,Personal,Active,2025-01-28
A0108,C0108,Personal,Active,2025-05-21
A0109,C0109,Personal,Suspended,2024-10-27
A0110,C0110,Personal,Active,2024-12-04
A0111,C0111,Personal,Active,2024-09-23
A0112,C0112,Merchant,Active,2025-04-05
A0113,C0113,Personal,Active,2025-11-23
A0114,C0114,Personal,Active,2025-03-31
A0115,C0115,Personal,Active,2024-12-25
A0116,C0116,Personal,Active,2024-03-08
A0117,C0117,Personal,Active,2025-02-15
A0118,C0118,Personal,Active,2025-05-05
A0119,C0119,Personal,Active,2024-02-18
A0120,C0120,Merchant,Active,2025-11-17
A0121,C0121,Personal,Inactive,2025-07-17
A0122,C0122,Merchant,Active,2024-04-11
A0123,C0123,Personal,Active,2024-08-03
A0124,C0124,Personal,Active,2025-03-13
A0125,C0125,Personal,Active,2025-11-30
A0126,C0126,Personal,Active,2025-07-22
A0127,C0127,Personal,Active,2025-07-12
A0128,C0128,Personal,Active,2024-06-07
A0129,C0129,Personal,Active,2025-05-03
A0130,C0130,Personal,Active,2025-11-16
A0131,C0131,Personal,Active,2024-08-29
A0132,C0132,Personal,Active,2024-01-05
A0133,C0133,Personal,Active,2025-08-18
A0134,C0134,Merchant,Active,2024-12-26
A0135,C0135,Personal,Active,2025-04-03
A0136,C0136,Personal,Active,2024-09-04
A0137,C0137,Personal,Active,2025-07-19
A0138,C0138,Personal,Active,2025-11-03
A0139,C0139,Personal,Active,2025-02-25
A0140,C0140,Merchant,Active,2024-01-15
A0141,C0141,Personal,Active,2025-07-26
A0142,C0142,Personal,Inactive,2024-05-01
A0143,C0143,Personal,Active,2024-10-03
A0144,C0144,Personal,Active,2025-07-11
A0145,C0145,Personal,Active,2025-03-28
A0146,C0146,Personal,Active,2025-01-24
A0147,C0147,Personal,Active,2024-10-20
A0148,C0148,Personal,Inactive,2025-07-27
A0149,C0149,Personal,Active,2025-08-20
A0150,C0150,Personal,Active,2025-03-21
A0151,C0151,Merchant,Active,2024-07-28
A0152,C0152,Personal,Active,2025-08-12
A0153,C0153,Personal,Active,2025-12-14
A0154,C0154,Personal,Active,2024-10-28
A0155,C0155,Personal,Active,2024-08-10
A0156,C0156,Personal,Active,2024-01-03
A0157,C0157,Personal,Active,2025-06-01
A0158,C0158,Personal,Active,2024-04-02
A0159,C0159,Personal,Active,2025-06-03
A0160,C0160,Personal,Active,2025-03-03
A0161,C0161,Personal,Active,2025-05-07
A0162,C0162,Personal,Active,2024-08-22
A0163,C0163,Personal,Active,2025-09-11
A0164,C0164,Personal,Active,2024-06-09
A0165,C0165,Personal,Active,2025-12-21
A0166,C0166,Merchant,Active,2024-11-26
A0167,C0167,Personal,Active,2024-11-28
A0168,C0168,Personal,Active,2024-02-19
A0169,C0169,Personal,Active,2025-06-06
A0170,C0170,Merchant,Active,2025-10-29
A0171,C0171,Personal,Active,2025-05-06
A0172,C0172,Personal,Active,2025-08-04
A0173,C0173,Personal,Active,2025-11-11
A0174,C0174,Personal,Active,2024-09-28
A0175,C0175,Personal,Active,2025-08-02
A0176,C0176,Personal,Active,2024-09-08
A0177,C0177,Personal,Active,2025-07-13
A0178,C0178,Personal,Active,2025-11-26
A0179,C0179,Personal,Active,2025-11-29
A0180,C0180,Personal,Active,2024-03-30
A0181,C0181,Personal,Active,2025-03-21
A0182,C0182,Personal,Active,2024-11-27
A0183,C0183,Merchant,Active,2024-05-18
A0184,C0184,Personal,Active,2024-12-22
A0185,C0185,Personal,Active,2025-08-23
A0186,C0186,Personal,Active,2024-09-30
A0187,C0187,Personal,Active,2024-01-19
A0188,C0188,Merchant,Active,2024-11-06
A0189,C0189,Personal,Active,2024-06-02
A0190,C0190,Personal,Active,2025-01-24
A0191,C0191,Personal,Active,2024-09-16
A0192,C0192,Personal,Active,2025-09-11
A0193,C0193,Personal,Active,2025-07-24
A0194,C0194,Personal,Active,2024-05-04
A0195,C0195,Personal,Active,2024-12-19
A0196,C0196,Personal,Active,2024-09-29
A0197,C0197,Personal,Active,2025-09-10
A0198,C0198,Personal,Active,2024-09-01
A0199,C0199,Personal,Active,2025-03-25
A0200,C0200,Personal,Inactive,2024-09-03
A0201,C0201,Personal,Active,2025-06-03
A0202,C0202,Personal,Active,2024-05-20
A0203,C0203,Merchant,Active,2024-12-27
A0204,C0204,Personal,Active,2024-01-08
A0205,C0205,Personal,Active,2025-04-22
A0206,C0206,Personal,Active,2024-12-17
A0207,C0207,Personal,Active,2025-05-09
A0208,C0208,Personal,Active,2025-08-28
A0209,C0209,Personal,Active,2025-03-02
A0210,C0210,Personal,Active,2024-02-08
A0211,C0211,Merchant,Inactive,2025-08-15
A0212,C0212,Personal,Active,2024-07-05
A0213,C0213,Personal,Active,2025-08-18
A0214,C0214,Personal,Active,2025-08-22
A0215,C0215,Personal,Active,2024-04-02
A0216,C0216,Personal,Inactive,2024-03-26
A0217,C0217,Personal,Active,2024-02-13
A0218,C0218,Merchant,Active,2024-05-16
A0219,C0219,Personal,Active,2025-02-24
A0220,C0220,Personal,Inactive,2024-03-14
A0221,C0221,Personal,Active,2025-07-01
A0222,C0222,Personal,Active,2025-09-04
A0223,C0223,Personal,Active,2025-05-26
A0224,C0224,Personal,Active,2024-06-04
A0225,C0225,Personal,Active,2024-09-11
A0226,C0226,Personal,Inactive,2024-06-19
A0227,C0227,Personal,Active,2025-12-28
A0228,C0228,Personal,Active,2024-06-18
A0229,C0229,Personal,Active,2024-11-17
A0230,C0230,Personal,Active,2025-07-20
A0231,C0231,Personal,Active,2025-03-31
A0232,C0232,Merchant,Inactive,2025-08-25
A0233,C0233,Personal,Active,2025-09-04
A0234,C0234,Personal,Active,2024-06-03
A0235,C0235,Personal,Active,2024-12-14
A0236,C0236,Personal,Active,2025-03-26
A0237,C0237,Personal,Active,2025-10-14
A0238,C0238,Personal,Active,2024-06-21
A0239,C0239,Personal,Active,2024-01-10
A0240,C0240,Merchant,Active,2024-09-21
A0241,C0241,Merchant,Active,2025-03-13
A0242,C0242,Personal,Active,2024-09-03
A0243,C0243,Personal,Active,2025-10-28
A0244,C0244,Personal,Inactive,2025-06-29
A0245,C0245,Personal,Active,2025-05-13
A0246,C0246,Personal,Active,2024-05-08
A0247,C0247,Personal,Active,2025-11-02
A0248,C0248,Personal,Active,2025-08-23
A0249,C0249,Personal,Active,2025-08-27
A0250,C0250,Merchant,Active,2024-11-22
A0251,C0251,Personal,Active,2025-02-07
A0252,C0252,Personal,Active,2025-09-20
A0253,C0253,Personal,Active,2025-08-28
A0254,C0254,Personal,Active,2025-11-05
A0255,C0255,Personal,Inactive,2025-09-02
A0256,C0256,Personal,Active,2025-09-16
A0257,C0257,Merchant,Active,2024-12-24
A0258,C0258,Personal,Active,2025-08-25
A0259,C0259,Personal,Active,2025-12-18
A0260,C0260,Personal,Active,2024-01-17
A0261,C0261,Personal,Active,2024-09-30
A0262,C0262,Personal,Inactive,2025-11-15
A0263,C0263,Merchant,Active,2024-04-25
A0264,C0264,Personal,Active,2025-11-23
A0265,C0265,Personal,Active,2024-03-31
A0266,C0266,Personal,Inactive,2024-03-22
A0267,C0267,Personal,Active,2024-11-19
A0268,C0268,Personal,Active,2024-04-23
A0269,C0269,Personal,Active,2024-02-27
A0270,C0270,Personal,Active,2024-06-02
A0271,C0271,Personal,Active,2025-02-07
A0272,C0272,Personal,Active,2025-09-19
A0273,C0273,Personal,Active,2024-09-22
A0274,C0274,Personal,Active,2024-11-10
A0275,C0275,Personal,Active,2025-12-15
A0276,C0276,Personal,Active,2024-02-10
A0277,C0277,Personal,Active,2024-04-14
A0278,C0278,Personal,Active,2024-07-11
A0279,C0279,Personal,Active,2025-02-04
A0280,C0280,Merchant,Active,2024-10-04
A0281,C0281,Merchant,Active,2024-12-19
A0282,C0282,Personal,Inactive,2025-08-02
A0283,C0283,Merchant,Active,2025-12-09
A0284,C0284,Personal,Active,2024-09-12
A0285,C0285,Personal,Active,2025-10-12
A0286,C0286,Personal,Active,2025-10-22
A0287,C0287,Personal,Suspended,2024-04-08
A0288,C0288,Personal,Active,2025-08-10
A0289,C0289,Personal,Active,2024-10-08
A0290,C0290,Personal,Active,2025-02-06
A0291,C0291,Personal,Active,2024-04-18
A0292,C0292,Personal,Active,2025-11-30
A0293,C0293,Merchant,Active,2024-07-17
A0294,C0294,Personal,Active,2024-10-29
A0295,C0295,Personal,Inactive,2024-11-22
A0296,C0296,Personal,Active,2024-06-02
A0297,C0297,Personal,Active,2025-07-05
A0298,C0298,Personal,Active,2025-10-06
A0299,C0299,Personal,Active,2025-02-08
A0300,C0300,Personal,Active,2025-04-06
A0301,C0301,Personal,Active,2024-05-11
A0302,C0302,Personal,Active,2024-03-24
A0303,C0303,Personal,Active,2025-02-02
A0304,C0304,Personal,Active,2025-09-19
A0305,C0305,Personal,Active,2024-04-18
A0306,C0306,Personal,Active,2024-08-08
A0307,C0307,Personal,Suspended,2025-07-06
A0308,C0308,Personal,Inactive,2025-01-02
A0309,C0309,Merchant,Inactive,2024-05-26
A0310,C0310,Merchant,Active,2024-04-21
A0311,C0311,Personal,Active,2025-09-06
A0312,C0312,Personal,Active,2025-07-11
A0313,C0313,Personal,Inactive,2025-05-08
A0314,C0314,Personal,Active,2025-05-19
A0315,C0315,Personal,Active,2025-04-19
A0316,C0316,Personal,Active,2024-09-27
A0317,C0317,Merchant,Active,2025-02-24
A0318,C0318,Personal,Active,2025-12-07
A0319,C0319,Merchant,Active,2025-01-01
A0320,C0320,Personal,Active,2024-10-06
A0321,C0321,Personal,Active,2024-10-09
A0322,C0322,Personal,Active,2024-02-09
A0323,C0323,Personal,Active,2024-07-07
A0324,C0324,Personal,Active,2024-06-12
A0325,C0325,Personal,Active,2025-06-19
A0326,C0326,Personal,Active,2025-06-19
A0327,C0327,Personal,Active,2024-01-04
A0328,C0328,Personal,Suspended,2024-10-16
A0329,C0329,Personal,Active,2025-03-08
A0330,C0330,Merchant,Suspended,2025-04-15
A0331,C0331,Personal,Inactive,2024-06-29
A0332,C0332,Personal,Active,2024-09-04
A0333,C0333,Personal,Active,2025-09-19
A0334,C0334,Personal,Active,2024-10-05
A0335,C0335,Personal,Active,2025-08-03
A0336,C0336,Personal,Active,2024-09-10
A0337,C0337,Personal,Active,2024-06-29
A0338,C0338,Personal,Active,2025-11-11
A0339,C0339,Personal,Active,2025-05-23
A0340,C0340,Personal,Active,2025-11-30
A0341,C0341,Personal,Active,2025-07-19
A0342,C0342,Personal,Active,2024-11-21
A0343,C0343,Personal,Active,2024-12-22
A0344,C0344,Personal,Active,2025-10-11
A0345,C0345,Personal,Active,2025-11-10
A0346,C0346,Personal,Active,2025-01-25
A0347,C0347,Personal,Active,2025-09-06
A0348,C0348,Personal,Active,2024-03-25
A0349,C0349,Personal,Active,2024-11-12
A0350,C0350,Personal,Active,2024-07-30
A0351,C0351,Merchant,Inactive,2025-05-29
A0352,C0352,Personal,Active,2025-01-18
A0353,C0353,Personal,Active,2025-11-21
A0354,C0354,Personal,Active,2024-12-07
A0355,C0355,Personal,Active,2024-02-07
A0356,C0356,Personal,Active,2025-05-25
A0357,C0357,Personal,Inactive,2025-02-23
A0358,C0358,Personal,Active,2024-06-17
A0359,C0359,Personal,Active,2024-12-08
A0360,C0360,Personal,Active,2024-11-01
A0361,C0361,Personal,Active,2025-06-25
A0362,C0362,Personal,Active,2025-12-02
A0363,C0363,Personal,Active,2025-06-20
A0364,C0364,Merchant,Active,2024-04-21
A0365,C0365,Personal,Active,2025-02-14
A0366,C0366,Merchant,Active,2024-07-24
A0367,C0367,Merchant,Active,2024-07-03
A0368,C0368,Personal,Active,2025-01-16
A0369,C0369,Personal,Active,2025-05-10
A0370,C0370,Personal,Active,2025-01-13
A0371,C0371,Personal,Active,2024-02-16
A0372,C0372,Personal,Active,2025-07-04
A0373,C0373,Personal,Active,2025-06-11
A0374,C0374,Personal,Active,2025-05-18
A0375,C0375,Personal,Active,2024-01-22
A0376,C0376,Merchant,Active,2024-07-31
A0377,C0377,Personal,Active,2024-11-05
A0378,C0378,Personal,Active,2025-10-22
A0379,C0379,Personal,Active,2024-09-28
A0380,C0380,Merchant,Active,2025-07-24
A0381,C0381,Personal,Active,2024-07-20
A0382,C0382,Personal,Active,2024-02-01
A0383,C0383,Personal,Active,2025-03-18
A0384,C0384,Personal,Active,2024-06-10
A0385,C0385,Personal,Active,2024-09-10
A0386,C0386,Merchant,Inactive,2025-06-04
A0387,C0387,Personal,Active,2025-10-12
A0388,C0388,Personal,Active,2025-04-24
A0389,C0389,Personal,Active,2024-01-10
A0390,C0390,Personal,Active,2025-12-26
A0391,C0391,Personal,Active,2025-05-19
A0392,C0392,Personal,Active,2025-07-13
A0393,C0393,Personal,Active,2025-03-11
A0394,C0394,Personal,Active,2024-04-20
A0395,C0395,Personal,Active,2024-06-01
A0396,C0396,Personal,Active,2025-09-26
A0397,C0397,Personal,Active,2024-04-11
A0398,C0398,Personal,Active,2024-07-09
A0399,C0399,Personal,Active,2025-12-29
A0400,C0400,Merchant,Active,2025-07-16
A0401,C0401,Personal,Active,2024-03-21
A0402,C0402,Personal,Active,2025-05-03
A0403,C0403,Personal,Active,2024-03-28
A0404,C0404,Personal,Active,2024-07-12
A0405,C0405,Personal,Active,2024-04-13
A0406,C0406,Personal,Active,2024-04-05
A0407,C0407,Personal,Active,2025-02-26
A0408,C0408,Merchant,Inactive,2024-07-16
A0409,C0409,Personal,Active,2024-01-01
A0410,C0410,Personal,Active,2025-02-10
A0411,C0411,Personal,Active,2025-01-12
A0412,C0412,Personal,Active,2024-06-15
A0413,C0413,Personal,Active,2025-05-23
A0414,C0414,Personal,Active,2025-09-29
A0415,C0415,Personal,Inactive,2024-11-08
A0416,C0416,Personal,Active,2025-08-15
A0417,C0417,Personal,Active,2025-02-21
A0418,C0418,Personal,Inactive,2025-11-11
A0419,C0419,Personal,Active,2025-04-21
A0420,C0420,Personal,Suspended,2024-03-13
A0421,C0421,Personal,Inactive,2024-05-20
A0422,C0422,Personal,Active,2025-08-04
A0423,C0423,Personal,Active,2024-09-18
A0424,C0424,Personal,Active,2024-12-05
A0425,C0425,Merchant,Active,2024-11-03
A0426,C0426,Personal,Active,2024-09-01
A0427,C0427,Personal,Active,2025-05-29
A0428,C0428,Personal,Active,2024-12-02
A0429,C0429,Personal,Active,2025-07-28
A0430,C0430,Personal,Suspended,2025-07-14
A0431,C0431,Personal,Active,2024-03-16
A0432,C0432,Personal,Active,2024-06-23
A0433,C0433,Personal,Active,2024-04-18
A0434,C0434,Personal,Active,2024-07-01
A0435,C0435,Personal,Active,2024-07-10
A0436,C0436,Personal,Active,2024-03-05
A0437,C0437,Personal,Suspended,2025-04-18
A0438,C0438,Personal,Active,2024-04-09
A0439,C0439,Personal,Active,2025-06-27
A0440,C0440,Personal,Active,2024-05-07
A0441,C0441,Personal,Inactive,2025-03-27
A0442,C0442,Personal,Active,2025-01-03
A0443,C0443,Personal,Active,2024-02-12
A0444,C0444,Personal,Active,2025-02-22
A0445,C0445,Personal,Active,2025-05-02
A0446,C0446,Personal,Active,2024-03-18
A0447,C0447,Personal,Active,2024-09-26
A0448,C0448,Personal,Active,2025-11-04
A0449,C0449,Personal,Active,2025-12-01
A0450,C0450,Personal,Active,2025-12-28
A0451,C0451,Personal,Active,2024-11-10
A0452,C0452,Personal,Active,2024-06-16
A0453,C0453,Personal,Active,2024-12-04
A0454,C0454,Personal,Active,2024-07-11
A0455,C0455,Personal,Active,2025-03-28
A0456,C0456,Merchant,Active,2024-10-09
A0457,C0457,Personal,Active,2024-12-01
A0458,C0458,Personal,Active,2025-01-24
A0459,C0459,Personal,Active,2025-06-08
A0460,C0460,Personal,Active,2024-08-27
A0461,C0461,Personal,Active,2025-04-27
A0462,C0462,Personal,Suspended,2025-10-20
A0463,C0463,Personal,Active,2025-12-16
A0464,C0464,Personal,Active,2025-08-14
A0465,C0465,Personal,Active,2025-07-08
A0466,C0466,Personal,Inactive,2025-04-02
A0467,C0467,Personal,Active,2024-03-29
A0468,C0468,Personal,Active,2025-10-21
A0469,C0469,Personal,Active,2024-04-04
A0470,C0470,Personal,Active,2025-03-27
A0471,C0471,Merchant,Active,2025-03-03
A0472,C0472,Personal,Active,2024-05-30
A0473,C0473,Personal,Active,2025-05-28
A0474,C0474,Personal,Active,2025-01-10
A0475,C0475,Personal,Active,2024-01-22
A0476,C0476,Personal,Active,2024-11-08
A0477,C0477,Personal,Active,2025-06-02
A0478,C0478,Personal,Active,2024-07-24
A0479,C0479,Personal,Active,2025-01-09
A0480,C0480,Personal,Active,2025-03-26
A0481,C0481,Personal,Active,2025-09-17
A0482,C0482,Personal,Inactive,2025-08-17
A0483,C0483,Personal,Active,2024-06-27
A0484,C0484,Personal,Active,2024-07-28
A0485,C0485,Merchant,Inactive,2025-05-14
A0486,C0486,Personal,Active,2025-04-08
A0487,C0487,Personal,Active,2024-05-03
A0488,C0488,Personal,Active,2024-04-22
A0489,C0489,Personal,Active,2024-01-12
A0490,C0490,Personal,Active,2024-05-05
A0491,C0491,Merchant,Active,2025-07-18
A0492,C0492,Personal,Active,2024-11-26
A0493,C0493,Personal,Active,2024-10-09
A0494,C0494,Personal,Active,2024-05-19
A0495,C0495,Personal,Active,2025-02-04
A0496,C0496,Personal,Active,2024-04-06
A0497,C0497,Personal,Active,2025-05-31
A0498,C0498,Personal,Active,2025-07-22
A0499,C0499,Personal,Active,2024-03-09
A0500,C0500,Personal,Active,2024-04-27
A0501,C0501,Personal,Active,2024-02-28
A0502,C0502,Merchant,Active,2024-02-02
A0503,C0503,Personal,Active,2024-11-13
A0504,C0504,Personal,Active,2024-02-19
A0505,C0505,Personal,Inactive,2025-05-03
A0506,C0506,Personal,Active,2024-01-19
A0507,C0507,Merchant,Active,2025-12-26
A0508,C0508,Personal,Active,2024-07-15
A0509,C0509,Personal,Inactive,2025-03-25
A0510,C0510,Personal,Active,2025-07-12
A0511,C0511,Personal,Active,2025-11-09
A0512,C0512,Personal,Active,2025-03-27
A0513,C0513,Personal,Active,2024-10-15
A0514,C0514,Personal,Active,2024-05-20
A0515,C0515,Personal,Active,2024-03-24
A0516,C0516,Personal,Inactive,2025-11-24
A0517,C0517,Merchant,Active,2025-01-25
A0518,C0518,Personal,Active,2025-08-13
A0519,C0519,Personal,Inactive,2024-08-02
A0520,C0520,Personal,Active,2025-06-09
A0521,C0521,Personal,Active,2024-08-02
A0522,C0522,Personal,Active,2025-02-06
A0523,C0523,Personal,Active,2024-05-07
A0524,C0524,Merchant,Active,2025-04-21
A0525,C0525,Personal,Active,2025-02-07
A0526,C0526,Personal,Active,2024-01-29
A0527,C0527,Personal,Active,2024-12-03
A0528,C0528,Personal,Active,2025-12-14
A0529,C0529,Personal,Active,2024-12-26
A0530,C0530,Personal,Active,2025-07-22
A0531,C0531,Personal,Active,2025-01-26
A0532,C0532,Personal,Active,2024-08-05
A0533,C0533,Personal,Active,2025-07-27
A0534,C0534,Personal,Active,2025-10-30
A0535,C0535,Personal,Active,2024-07-20
A0536,C0536,Personal,Active,2024-01-17
A0537,C0537,Personal,Active,2024-11-17
A0538,C0538,Personal,Active,2025-06-01
A0539,C0539,Personal,Active,2025-07-23
A0540,C0540,Personal,Active,2024-11-20
A0541,C0541,Personal,Active,2025-02-15
A0542,C0542,Merchant,Active,2024-11-13
A0543,C0543,Personal,Active,2025-11-11
A0544,C0544,Personal,Active,2024-03-22
A0545,C0545,Personal,Active,2025-04-18
A0546,C0546,Personal,Active,2025-04-12
A0547,C0547,Personal,Active,2025-02-28
A0548,C0548,Personal,Active,2025-12-31
A0549,C0549,Personal,Active,2025-11-19
A0550,C0550,Personal,Active,2024-07-22
A0551,C0551,Merchant,Active,2025-08-05
A0552,C0552,Personal,Active,2025-01-21
A0553,C0553,Personal,Active,2024-04-07
A0554,C0554,Personal,Active,2024-12-10
A0555,C0555,Personal,Active,2024-07-26
A0556,C0556,Personal,Active,2025-05-28
A0557,C0557,Personal,Active,2025-09-27
A0558,C0558,Personal,Active,2025-08-08
A0559,C0559,Personal,Active,2024-06-14
A0560,C0560,Personal,Active,2024-01-22
A0561,C0561,Personal,Inactive,2024-06-02
A0562,C0562,Personal,Active,2025-03-14
A0563,C0563,Personal,Active,2024-10-21
A0564,C0564,Personal,Active,2024-08-06
A0565,C0565,Personal,Active,2025-10-30
A0566,C0566,Personal,Active,2025-05-09
A0567,C0567,Personal,Active,2024-08-17
A0568,C0568,Personal,Active,2024-01-20
A0569,C0569,Merchant,Active,2025-07-06
A0570,C0570,Personal,Active,2024-05-27
A0571,C0571,Personal,Active,2024-04-17
A0572,C0572,Personal,Active,2025-02-06
A0573,C0573,Personal,Active,2025-08-18
A0574,C0574,Personal,Active,2025-04-27
A0575,C0575,Personal,Active,2025-01-01
A0576,C0576,Personal,Active,2025-02-17
A0577,C0577,Personal,Active,2024-11-04
A0578,C0578,Personal,Active,2024-05-13
A0579,C0579,Merchant,Inactive,2025-12-19
A0580,C0580,Personal,Active,2024-10-09
A0581,C0581,Personal,Active,2024-03-13
A0582,C0582,Personal,Active,2025-04-25
A0583,C0583,Personal,Active,2024-12-17
A0584,C0584,Personal,Active,2025-07-13
A0585,C0585,Personal,Active,2024-11-21
A0586,C0586,Personal,Active,2025-03-18
A0587,C0587,Personal,Suspended,2024-04-09
A0588,C0588,Personal,Active,2024-02-28
A0589,C0589,Personal,Active,2025-05-22
A0590,C0590,Personal,Active,2024-09-14
A0591,C0591,Personal,Active,2025-02-16
A0592,C0592,Personal,Active,2025-03-27
A0593,C0593,Personal,Active,2024-03-05
A0594,C0594,Personal,Active,2025-08-17
A0595,C0595,Merchant,Active,2024-06-02
A0596,C0596,Personal,Active,2024-09-22
A0597,C0597,Personal,Active,2024-03-19
A0598,C0598,Personal,Active,2024-11-10
A0599,C0599,Personal,Active,2025-10-23
A0600,C0600,Personal,Active,2025-07-13
A0601,C0601,Merchant,Active,2024-09-04
A0602,C0602,Personal,Active,2025-09-01
A0603,C0603,Personal,Active,2025-02-17
A0604,C0604,Personal,Active,2024-01-25
A0605,C0605,Personal,Active,2024-10-10
A0606,C0606,Personal,Active,2025-03-24
A0607,C0607,Merchant,Active,2024-10-27
A0608,C0608,Personal,Active,2024-03-08
A0609,C0609,Personal,Active,2024-01-07
A0610,C0610,Personal,Active,2024-05-16
A0611,C0611,Personal,Active,2024-06-12
A0612,C0612,Personal,Active,2024-03-23
A0613,C0613,Personal,Active,2025-10-11
A0614,C0614,Personal,Active,2025-02-23
A0615,C0615,Personal,Inactive,2024-03-13
A0616,C0616,Personal,Active,2024-08-24
A0617,C0617,Personal,Active,2024-02-15
A0618,C0618,Personal,Active,2025-09-09
A0619,C0619,Personal,Active,2024-09-18
A0620,C0620,Personal,Active,2024-06-24
A0621,C0621,Personal,Active,2024-06-14
A0622,C0622,Personal,Active,2025-10-18
A0623,C0623,Personal,Active,2025-01-04
A0624,C0624,Personal,Active,2024-02-23
A0625,C0625,Personal,Active,2025-11-20
A0626,C0626,Personal,Active,2025-02-22
