agent_id,agent_name,city,region,join_date
AG081,Agent Store 081,Rangpur,Rangpur,2025-01-14
AG082,Agent Store 082,Cumilla,Chattogram,2023-09-16
AG083,Agent Store 083,Mymensingh,Mymensingh,2023-12-25
AG084,Agent Store 084,Dhaka,Dhaka,2024-12-10
AG085,Agent Store 085,Mymensingh,Mymensingh,2024-03-31
AG086,Agent Store 086,Mymensingh,Mymensingh,2024-02-15
AG087,Agent Store 087,Khulna,Khulna,2024-10-10
AG088,Agent Store 088,Dhaka,Dhaka,2023-11-14
AG089,Agent Store 089,Mymensingh,Mymensingh,2024-11-07
AG090,Agent Store 090,Khulna,Khulna,2023-08-13
AG091,Agent Store 091,Khulna,Khulna,2025-03-29
AG092,Agent Store 092,Dhaka,Dhaka,2023-08-22
AG093,Agent Store 093,Sylhet,Sylhet,2024-11-14
AG094,Agent Store 094,Gazipur,Dhaka,2024-10-25
AG095,Agent Store 095,Rangpur,Rangpur,2025-04-06
AG096,Agent Store 096,Gazipur,Dhaka,2024-01-09
AG097,Agent Store 097,Cumilla,Chattogram,2024-11-02
AG098,Agent Store 098,Rangpur,Rangpur,2024-08-30
AG099,Agent Store 099,Cumilla,Chattogram,2024-04-16
AG100,Agent Store 100,Mymensingh,Mymensingh,2023-08-21
