transaction_id,customer_id,agent_id,type_id,amount,transaction_date,transaction_time,status,channel,fee
T000090,C0112,AG074,TT03,1350.0,2025-06-27,02:37:00,Success,App,0.0
T000091,C0475,AG053,TT05,560.0,2025-10-25,22:59:00,Success,App,0.0
T000092,C0976,AG005,TT03,4980.0,2025-12-24,23:07:00,Success,App,49.8
T000093,C0085,AG022,TT03,1760.0,2025-12-25,07:27:00,Success,Agent,17.6
T000094,C0760,AG056,TT01,490.0,2025-05-26,17:57:00,Success,App,4.9
T000095,C0068,AG014,TT01,2130.0,2025-03-15,03:35:00,Success,Agent,21.3
T000096,C0127,AG040,TT02,1990.0,2025-04-18,12:17:00,Success,USSD,0.0
T000097,C0194,AG001,TT02,1240.0,2025-05-02,15:33:00,Success,USSD,6.2
T000098,C0981,AG077,TT05,870.0,2025-01-17,20:47:00,Success,USSD,4.35
T000099,C0647,AG027,TT03,1070.0,2025-07-15,04:51:00,Success,App,0.0
T000100,C0101,AG049,TT01,2880.0,2025-11-23,00:17:00,Success,USSD,14.4
T000101,C0071,AG058,TT02,620.0,2025-11-14,13:59:00,Success,App,3.1
T000102,C0066,AG081,TT02,10130.0,2025-10-24,04:56:00,Success,App,50.65
T000103,C0204,AG072,TT03,770.0,2025-09-09,13:16:00,Success,Agent,0.0
T000104,C0897,AG092,TT02,2120.0,2025-04-29,19:46:00,Success,App,10.6
T000105,C0131,AG026,TT02,1170.0,2025-06-11,10:59:00,Success,App,0.0
T000106,C0001,AG020,TT03,1730.0,2025-07-17,00:07:00,Success,Agent,0.0
T000107,C0035,AG083,TT02,1970.0,2025-02-14,03:18:00,Success,App,19.7
T000108,C0784,AG014,TT01,1390.0,2025-11-10,18:33:00,Failed,USSD,0.0
T000109,C0499,AG025,TT01,1040.0,2025-06-28,06:11:00,Pending,Agent,15.6
T000110,C0136,AG036,TT02,1730.0,2025-02-13,11:49:00,Success,Agent,17.3
T000111,C0661,AG028,TT01,1700.0,2025-09-28,12:43:00,Success,USSD,8.5
T000112,C0261,AG008,TT02,2330.0,2025-03-19,17:58:00,Failed,USSD,23.3
T000113,C0312,AG049,TT04,8480.0,2025-11-22,03:22:00,Success,App,0.0
T000114,C0287,AG097,TT03,3420.0,2025-06-27,09:54:00,Success,Agent,0.0
T000115,C0763,AG006,TT03,6290.0,2025-12-23,23:25:00,Success,Agent,62.9
T000116,C0090,AG089,TT04,9490.0,2025-01-03,08:36:00,Success,App,94.9
T000117,C0257,AG001,TT02,1470.0,2025-08-02,20:07:00,Failed,App,14.7
T000118,C0727,AG094,TT05,1740.0,2025-12-08,23:00:00,Success,USSD,17.4
T000119,C0397,AG005,TT02,530.0,2025-03-15,14:52:00,Success,App,2.65
T000120,C0544,AG073,TT02,500.0,2025-02-20,14:59:00,Success,USSD,0.0
T000121,C0453,AG008,TT02,2330.0,2025-03-08,13:38:00,Success,Agent,23.3
T000122,C0596,AG088,TT01,3070.0,2025-11-28,12:58:00,Success,USSD,0.0
T000123,C0307,AG089,TT05,70.0,2025-04-03,21:42:00,Success,App,0.0
T000124,C0092,AG041,TT01,970.0,2025-06-25,01:43:00,Success,USSD,9.7
T000125,C0391,AG072,TT02,5110.0,2025-05-25,22:09:00,Success,App,0.0
T000126,C0380,AG085,TT02,6640.0,2025-01-07,09:02:00,Success,App,33.2
T000127,C0058,AG019,TT01,920.0,2025-09-26,01:22:00,Success,App,0.0
T000128,C0461,AG003,TT01,13860.0,2025-11-18,09:24:00,Success,App,0.0
T000129,C0288,AG039,TT01,2510.0,2025-01-04,06:32:00,Success,App,12.55
T000130,C0494,AG016,TT02,3770.0,2025-05-18,09:37:00,Success,App,0.0
T000131,C0018,AG065,TT04,7880.0,2025-08-19,06:26:00,Success,App,78.8
T000132,C0174,AG074,TT02,1700.0,2025-03-29,00:07:00,Success,App,0.0
T000133,C0877,AG070,TT01,9600.0,2025-01-17,08:22:00,Failed,App,48.0
T000134,C0520,AG069,TT03,1000.0,2025-02-21,09:39:00,Success,App,0.0
T000135,C0221,AG017,TT05,770.0,2025-05-14,14:25:00,Success,App,0.0
T000136,C0852,AG021,TT02,2920.0,2025-07-30,12:52:00,Success,App,14.6
T000137,C0282,AG093,TT02,2820.0,2025-11-21,21:50:00,Pending,Agent,14.1
T000138,C0530,AG062,TT05,1440.0,2025-08-07,22:06:00,Failed,Agent,7.2
T000139,C0814,AG031,TT01,2210.0,2025-07-24,02:50:00,Success,App,11.05
T000140,C0893,AG003,TT03,1960.0,2025-07-30,13:22:00,Success,Agent,19.6
T000141,C0642,AG038,TT02,3410.0,2025-10-04,10:51:00,Success,Agent,0.0
T000142,C0431,AG060,TT05,270.0,2025-01-24,23:40:00,Success,Agent,0.0
T000143,C0490,AG092,TT05,470.0,2025-01-04,18:36:00,Failed,USSD,2.35
T000144,C0561,AG092,TT04,8570.0,2025-06-01,21:01:00,Success,App,42.85
T000145,C0442,AG065,TT02,2430.0,2025-09-16,07:03:00,Failed,App,0.0
T000146,C0344,AG076,TT02,1810.0,2025-11-20,13:41:00,Success,App,0.0
T000147,C0747,AG016,TT02,1510.0,2025-12-23,12:00:00,Success,Agent,15.1
T000148,C0776,AG089,TT05,700.0,2025-06-17,15:21:00,Success,App,0.0
T000149,C0278,AG082,TT05,1060.0,2025-06-25,01:16:00,Success,App,10.6
T000150,C0610,AG008,TT02,840.0,2025-11-06,23:04:00,Success,USSD,4.2
T000151,C0480,AG070,TT03,5690.0,2025-10-18,04:22:00,Success,App,85.35
T000152,C0099,AG051,TT01,4650.0,2025-02-25,20:25:00,Success,Agent,0.0
T000153,C0409,AG050,TT02,790.0,2025-04-18,07:36:00,Success,App,0.0
T000154,C0711,AG073,TT03,570.0,2025-10-23,01:04:00,Failed,Agent,2.85
T000155,C0590,AG018,TT02,4590.0,2025-11-20,10:45:00,Success,Agent,22.95
T000156,C0428,AG094,TT02,1580.0,2025-10-29,18:51:00,Success,USSD,7.9
T000157,C0157,AG084,TT01,1890.0,2025-11-30,08:37:00,Success,USSD,9.45
T000158,C0997,AG082,TT04,6540.0,2025-05-21,12:08:00,Success,USSD,0.0
T000159,C0997,AG029,TT05,560.0,2025-06-04,08:13:00,Success,App,2.8
T000160,C0519,AG075,TT05,1060.0,2025-09-19,08:31:00,Success,App,5.3
T000161,C0993,AG082,TT03,1830.0,2025-09-30,18:50:00,Success,USSD,9.15
T000162,C0384,AG033,TT03,1840.0,2025-08-20,16:41:00,Success,App,18.4
T000163,C0977,AG003,TT02,2570.0,2025-08-29,15:47:00,Failed,App,12.85
T000164,C0723,AG092,TT05,780.0,2025-12-21,22:01:00,Success,USSD,7.8
T000165,C0281,AG005,TT03,2440.0,2025-12-03,00:03:00,Success,App,0.0
T000166,C0520,AG080,TT03,1670.0,2025-09-15,09:02:00,Success,App,25.05
T000167,C0972,AG059,TT03,3900.0,2025-09-06,05:43:00,Success,Agent,19.5
T000168,C0387,AG004,TT04,2550.0,2025-03-18,02:41:00,Success,Agent,0.0
T000169,C0287,AG018,TT01,4440.0,2025-06-29,18:36:00,Success,USSD,0.0
T000170,C0748,AG027,TT01,360.0,2025-03-07,14:48:00,Success,Agent,1.8
T000171,C0456,AG018,TT03,3500.0,2025-11-04,22:22:00,Success,USSD,0.0
T000172,C0068,AG066,TT05,520.0,2025-12-14,16:59:00,Success,Agent,0.0
T000173,C0800,AG006,TT03,1480.0,2025-06-20,07:26:00,Success,App,0.0
T000174,C0135,AG099,TT02,3530.0,2025-01-22,21:06:00,Success,Agent,52.95
T000175,C0142,AG083,TT02,2340.0,2025-04-17,23:01:00,Success,USSD,11.7
T000176,C0418,AG093,TT03,1580.0,2025-11-19,05:03:00,Success,USSD,15.8
T000177,C0197,AG011,TT03,2980.0,2025-08-15,19:58:00,Success,App,29.8
T000178,C0524,AG038,TT03,970.0,2025-08-04,11:09:00,Success,Agent,9.7
T000179,C0037,AG065,TT02,2970.0,2025-03-10,00:23:00,Success,USSD,29.7
T000180,C0283,AG059,TT05,1670.0,2025-03-25,03:50:00,Success,App,0.0
T000181,C0085,AG054,TT03,2160.0,2025-04-13,06:51:00,Success,App,21.6
T000182,C0377,AG021,TT04,7140.0,2025-02-08,01:27:00,Success,Agent,71.4
T000183,C0589,AG099,TT01,1730.0,2025-01-13,23:15:00,Failed,USSD,8.65
T000184,C0601,AG008,TT02,370.0,2025-10-24,10:12:00,Success,App,1.85
T000185,C0546,AG067,TT05,1890.0,2025-11-09,08:51:00,Success,App,18.9
T000186,C0810,AG015,TT01,1000.0,2025-06-30,00:18:00,Success,App,15.0
T000187,C0832,AG081,TT03,1130.0,2025-09-25,11:18:00,Success,Agent,5.65
T000188,C0748,AG092,TT02,7740.0,2025-01-13,07:43:00,Success,USSD,0.0
T000189,C0560,AG061,TT04,5700.0,2025-04-30,12:25:00,Success,App,0.0
T000190,C0017,AG100,TT02,2080.0,2025-12-19,18:39:00,Success,Agent,0.0
T000191,C0661,AG051,TT01,2480.0,2025-02-26,19:20:00,Success,App,0.0
T000192,C0271,AG041,TT05,500.0,2025-02-09,05:46:00,Success,USSD,0.0
T000193,C0538,AG078,TT03,2410.0,2025-12-02,20:21:00,Success,App,24.1
T000194,C0929,AG017,TT01,10120.0,2025-05-08,03:39:00,Success,Agent,101.2
T000195,C0099,AG039,TT01,1080.0,2025-06-22,21:14:00,Success,Agent,0.0
T000196,C0858,AG020,TT05,1960.0,2025-02-04,22:07:00,Success,Agent,19.6
T000197,C0140,AG039,TT01,3060.0,2025-09-16,10:54:00,Success,App,15.3
T000198,C0508,AG070,TT03,2300.0,2025-01-05,11:08:00,Success,USSD,0.0
T000199,C0022,AG070,TT02,2230.0,2025-08-06,08:55:00,Success,USSD,0.0
T000200,C0970,AG077,TT05,1790.0,2025-01-11,01:37:00,Success,Agent,17.9
T000201,C0969,AG035,TT04,3960.0,2025-11-23,11:45:00,Success,Agent,39.6
T000202,C0228,AG099,TT03,4460.0,2025-04-27,15:57:00,Success,Agent,22.3
T000203,C0866,AG027,TT01,5050.0,2025-07-03,15:50:00,Success,App,75.75
T000204,C0213,AG032,TT05,310.0,2025-12-28,03:06:00,Success,Agent,1.55
T000205,C0353,AG098,TT02,1160.0,2025-04-26,17:02:00,Success,Agent,5.8
T000206,C0074,AG003,TT05,650.0,2025-06-11,07:44:00,Success,App,0.0
T000207,C0941,AG032,TT02,610.0,2025-03-08,03:48:00,Failed,Agent,0.0
T000208,C0391,AG071,TT03,7870.0,2025-07-19,12:48:00,Success,Agent,0.0
T000209,C0251,AG034,TT01,23010.0,2025-01-31,17:07:00,Success,USSD,345.15
T000210,C0703,AG021,TT03,2130.0,2025-03-16,02:22:00,Success,Agent,0.0
T000211,C0540,AG029,TT02,1380.0,2025-08-25,05:46:00,Success,Agent,20.7
T000212,C0466,AG004,TT02,7230.0,2025-11-23,09:21:00,Success,USSD,72.3
T000213,C0975,AG068,TT01,2910.0,2025-03-07,04:56:00,Success,App,14.55
T000214,C0808,AG001,TT01,980.0,2025-03-11,14:19:00,Success,USSD,4.9
T000215,C0606,AG031,TT01,890.0,2025-10-24,11:02:00,Success,USSD,0.0
T000216,C0985,AG045,TT02,3470.0,2025-01-20,06:21:00,Success,USSD,17.35
T000217,C0957,AG081,TT05,1670.0,2025-08-14,15:48:00,Success,USSD,25.05
T000218,C0306,AG071,TT02,600.0,2025-07-18,01:59:00,Success,Agent,6.0
T000219,C0882,AG052,TT03,2880.0,2025-02-08,10:47:00,Success,Agent,0.0
T000220,C0365,AG044,TT01,680.0,2025-05-25,09:37:00,Success,Agent,10.2
T000221,C0606,AG050,TT03,3130.0,2025-02-14,14:37:00,Success,App,31.3
T000222,C0464,AG036,TT02,3130.0,2025-11-22,23:59:00,Success,Agent,15.65
T000223,C0266,AG021,TT05,1860.0,2025-04-01,17:18:00,Success,Agent,0.0
T000224,C0793,AG023,TT04,2790.0,2025-08-26,05:54:00,Success,Agent,27.9
T000225,C0908,AG077,TT02,1240.0,2025-03-11,19:28:00,Success,App,0.0
T000226,C0488,AG034,TT04,9300.0,2025-06-15,18:16:00,Success,USSD,46.5
T000227,C0887,AG100,TT01,1250.0,2025-05-10,02:11:00,Success,App,12.5
T000228,C0513,AG069,TT03,1400.0,2025-08-02,03:11:00,Success,App,0.0
T000229,C0073,AG100,TT01,3090.0,2025-12-06,07:13:00,Success,Agent,30.9
T000230,C0212,AG031,TT02,1560.0,2025-03-30,00:47:00,Success,USSD,23.4
T000231,C0806,AG012,TT01,1040.0,2025-12-01,09:41:00,Success,App,5.2
T000232,C0594,AG028,TT03,630.0,2025-09-09,11:45:00,Success,USSD,6.3
T000233,C0733,AG048,TT02,870.0,2025-12-15,19:17:00,Success,USSD,4.35
T000234,C0165,AG028,TT04,6940.0,2025-03-13,23:22:00,Success,Agent,34.7
T000235,C0443,AG007,TT03,4230.0,2025-06-14,07:43:00,Success,App,42.3
T000236,C0881,AG034,TT01,610.0,2025-02-18,15:30:00,Success,Agent,0.0
T000237,C0396,AG086,TT03,1410.0,2025-02-21,20:12:00,Success,App,7.05
T000238,C0933,AG051,TT04,7420.0,2025-10-16,06:00:00,Success,USSD,37.1
T000239,C0608,AG088,TT05,100.0,2025-10-05,18:53:00,Success,App,1.0
T000240,C0524,AG078,TT03,850.0,2025-04-24,02:18:00,Success,Agent,8.5
T000241,C0568,AG080,TT04,4740.0,2025-08-27,10:56:00,Success,USSD,23.7
T000242,C0869,AG011,TT04,6890.0,2025-05-13,07:25:00,Success,Agent,103.35
T000243,C0935,AG094,TT01,610.0,2025-10-01,19:23:00,Success,Agent,3.05
T000244,C0204,AG038,TT01,11440.0,2025-06-15,02:55:00,Success,Agent,114.4
T000245,C0440,AG042,TT01,810.0,2025-10-20,10:03:00,Success,Agent,0.0
T000246,C0993,AG007,TT02,460.0,2025-08-31,11:28:00,Success,App,0.0
T000247,C0312,AG046,TT02,5060.0,2025-11-16,09:33:00,Success,App,25.3
T000248,C0507,AG045,TT05,1870.0,2025-05-18,09:57:00,Success,USSD,0.0
T000249,C0107,AG003,TT02,1950.0,2025-03-20,13:55:00,Failed,App,29.25
T000250,C0928,AG079,TT03,2780.0,2025-06-19,11:56:00,Success,USSD,0.0
T000251,C0545,AG057,TT03,1780.0,2025-05-03,09:15:00,Success,App,8.9
T000252,C0920,AG030,TT01,960.0,2025-06-25,07:04:00,Success,App,9.6
T000253,C0671,AG097,TT01,1700.0,2025-10-27,12:16:00,Success,App,8.5
T000254,C0190,AG052,TT03,610.0,2025-03-23,21:15:00,Success,App,3.05
T000255,C0990,AG081,TT03,2900.0,2025-03-28,19:24:00,Failed,USSD,14.5
T000256,C0474,AG054,TT05,210.0,2025-08-13,14:59:00,Success,USSD,0.0
T000257,C0514,AG048,TT02,870.0,2025-01-16,16:30:00,Success,App,4.35
T000258,C0052,AG084,TT05,1910.0,2025-11-06,13:20:00,Success,App,28.65
T000259,C0593,AG033,TT02,2840.0,2025-12-24,07:04:00,Success,USSD,0.0
T000260,C0641,AG091,TT03,760.0,2025-06-12,19:13:00,Success,App,3.8
T000261,C0820,AG020,TT03,1580.0,2025-04-08,01:29:00,Success,App,7.9
T000262,C0351,AG098,TT01,2240.0,2025-06-05,05:25:00,Success,App,33.6
T000263,C0380,AG095,TT01,1580.0,2025-01-02,13:23:00,Success,App,0.0
T000264,C0093,AG005,TT01,3000.0,2025-12-16,00:35:00,Success,Agent,15.0
T000265,C0459,AG082,TT02,2580.0,2025-06-18,22:34:00,Success,Agent,25.8
T000266,C0493,AG083,TT03,1280.0,2025-11-11,05:50:00,Success,App,0.0
T000267,C0132,AG017,TT01,1120.0,2025-11-21,04:20:00,Success,App,0.0
T000268,C0868,AG087,TT03,1060.0,2025-04-02,02:04:00,Success,Agent,5.3
T000269,C0008,AG002,TT02,950.0,2025-06-30,06:27:00,Success,USSD,0.0
T000270,C0356,AG024,TT04,7970.0,2025-08-19,01:17:00,Success,App,0.0
T000271,C0943,AG051,TT04,3520.0,2025-10-28,16:14:00,Success,App,0.0
T000272,C0661,AG048,TT04,9700.0,2025-05-28,15:34:00,Success,USSD,0.0
T000273,C0331,AG044,TT03,9640.0,2025-10-07,01:16:00,Success,USSD,48.2
T000274,C0396,AG001,TT02,3030.0,2025-07-08,19:00:00,Success,App,15.15
T000275,C0218,AG052,TT04,8020.0,2025-12-13,11:56:00,Success,Agent,40.1
T000276,C0347,AG022,TT01,2360.0,2025-12-16,19:54:00,Success,App,35.4
T000277,C0802,AG014,TT02,440.0,2025-11-10,15:30:00,Success,Agent,2.2
T000278,C0714,AG077,TT01,1690.0,2025-05-08,17:39:00,Success,Agent,25.35
T000279,C0507,AG076,TT03,1810.0,2025-01-07,15:43:00,Success,App,9.05
T000280,C0762,AG071,TT03,1380.0,2025-02-16,19:13:00,Success,Agent,6.9
T000281,C0969,AG066,TT03,330.0,2025-02-22,04:11:00,Success,App,0.0
T000282,C0359,AG067,TT02,1380.0,2025-07-06,23:04:00,Success,App,6.9
T000283,C0333,AG040,TT01,6540.0,2025-02-07,20:09:00,Success,App,65.4
T000284,C0716,AG036,TT05,1420.0,2025-08-14,16:37:00,Success,App,14.2
T000285,C0081,AG077,TT03,2800.0,2025-02-22,10:16:00,Success,App,28.0
T000286,C0580,AG058,TT02,2820.0,2025-08-12,13:48:00,Pending,App,14.1
T000287,C0064,AG039,TT03,520.0,2025-06-03,09:41:00,Success,App,2.6
T000288,C0615,AG094,TT01,3110.0,2025-02-17,22:28:00,Success,Agent,31.1
T000289,C0540,AG100,TT01,4030.0,2025-12-17,23:47:00,Success,App,20.15
T000290,C0809,AG037,TT02,1140.0,2025-05-27,13:20:00,Success,Agent,0.0
T000291,C0596,AG014,TT01,2560.0,2025-03-05,11:46:00,Success,App,25.6
T000292,C0455,AG064,TT02,1360.0,2025-12-15,03:53:00,Success,USSD,0.0
T000293,C0504,AG026,TT05,260.0,2025-07-01,00:44:00,Success,Agent,0.0
T000294,C0584,AG040,TT03,3650.0,2025-05-05,03:01:00,Success,App,54.75
T000295,C0483,AG007,TT02,910.0,2025-06-28,03:14:00,Success,App,4.55
T000296,C0477,AG092,TT03,1140.0,2025-02-08,15:21:00,Success,USSD,0.0
T000297,C0303,AG008,TT05,1010.0,2025-09-17,04:11:00,Success,USSD,5.05
T000298,C0783,AG079,TT01,1610.0,2025-01-03,15:25:00,Success,App,0.0
T000299,C0863,AG005,TT04,6240.0,2025-03-05,07:56:00,Success,App,0.0
T000300,C0204,AG097,TT03,2400.0,2025-01-29,19:04:00,Success,Agent,12.0
T000301,C0661,AG043,TT01,2240.0,2025-01-11,16:28:00,Success,Agent,0.0
T000302,C0048,AG036,TT02,3500.0,2025-04-07,16:00:00,Success,USSD,17.5
T000303,C0464,AG059,TT02,1950.0,2025-12-24,19:31:00,Success,USSD,0.0
T000304,C0679,AG100,TT03,600.0,2025-07-22,15:10:00,Success,App,6.0
T000305,C0288,AG003,TT02,780.0,2025-01-21,09:33:00,Success,App,7.8
T000306,C0006,AG062,TT03,3720.0,2025-02-08,10:16:00,Success,App,18.6
T000307,C0344,AG022,TT03,1180.0,2025-08-11,22:26:00,Success,Agent,11.8
T000308,C0352,AG022,TT02,960.0,2025-04-12,20:58:00,Success,Agent,0.0
T000309,C0402,AG096,TT04,9680.0,2025-02-15,06:14:00,Failed,USSD,48.4
T000310,C0184,AG038,TT04,8950.0,2025-03-07,04:12:00,Success,App,0.0
T000311,C0876,AG050,TT02,1370.0,2025-04-01,08:13:00,Success,App,0.0
T000312,C0458,AG087,TT05,760.0,2025-06-13,08:41:00,Failed,Agent,3.8
T000313,C0733,AG053,TT01,1470.0,2025-04-21,11:53:00,Success,App,7.35
T000314,C0521,AG085,TT01,4080.0,2025-12-04,18:42:00,Success,App,40.8
T000315,C0909,AG004,TT02,2210.0,2025-05-03,23:43:00,Success,Agent,0.0
T000316,C0243,AG079,TT03,780.0,2025-07-12,20:52:00,Success,Agent,3.9
T000317,C0027,AG021,TT03,2270.0,2025-04-09,20:17:00,Success,USSD,0.0
